순위,발매일,곡명,앨범명,가수,장르
1,2010.07.01,Bad Girl Good Girl,Bad But Good,미쓰에이,댄스
2,2010.06.03,잔소리 (With 2AM 슬옹),잔소리,아이유,발라드
3,2010.06.24,죽을 만큼 아파서 (Feat. 멜로우),블루브랜드 Trauma Part 2,MC몽,랩/힙합
4,2010.01.18,못해 (Feat. 美),The 3rd Generation (Special Album),포맨 (4MEN),발라드
5,2010.01.21,죽어도 못 보내,죽어도 못 보내,2am,발라드
6,2010.01.28,Oh!,'Oh!' The Second Album,소녀시대 (GIRLS' GENERATION),댄스
7,2010.05.16,2 Different Tears,2 Different Tears,원더걸스,댄스
8,2010.02.23,너 때문에 미쳐,Breaking Heart (Repackage),티아라,댄스
9,2010.07.28,밥만 잘 먹더라,Homme By 'Hitman' Bang,"Homme (창민, 이현)",발라드
10,2010.09.09,Go Away,To Anyone,2NE1,댄스
11,2010.02.17,루팡 (Lupin),루팡 (Lupin),카라,댄스
12,2010.05.06,시간아 멈춰라,Innocence,다비치,댄스
13,2010.09.09,Can't Nobody,To Anyone,2NE1,댄스
14,2010.01.14,외톨이야,Bluetory,CNBLUE (씨엔블루),록/메탈
15,2010.10.01,그땐 그땐 그땐,Ames Room,"Supreme Team, 영준",랩/힙합
16,2010.01.19,사랑이 술을 가르쳐 (Feat. 백찬 From 8eight),Shadow (Repackage),이승기,발라드
17,2010.03.30,고백,시소,뜨거운 감자,"인디음악, 록/메탈"
18,2010.05.19,Love,Bluelove,CNBLUE (씨엔블루),록/메탈
19,2010.07.29,나 이런사람이야,풍류,DJ DOC,랩/힙합
20,2010.05.19,HUH,Hit Your Heart,4minute,댄스
21,2010.03.25,뱅(Bang) !,Bang!,애프터스쿨,댄스
22,2010.03.22,Run Devil Run,'Run Devil Run' The 2nd Album (Repackage),소녀시대 (GIRLS' GENERATION),댄스
23,2010.05.04,NU 예삐오 (NU ABO),NU 예삐오,f(x),댄스
24,2010.04.01,Magic,Secret Time,시크릿,댄스
25,2010.01.04,Change (Feat. 용준형 From Beast),Change,현아,댄스
26,2010.09.27,Breathe,Step Up,미쓰에이,댄스
27,2010.10.13,본능적으로 (Feat. Swings),슈퍼스타K 2 Top11 Part.3,강승윤,록/메탈
28,2010.06.03,땡땡땡,Spin Off (Repackage),Supreme Team,랩/힙합
29,2010.03.04,Bubble Love,조영수 All Star 2.5,"MC몽, 서인영",발라드
30,2010.03.16,잘못했어,잘못했어,2am,댄스
31,2010.04.07,널 붙잡을 노래,Back To The Basic,비,발라드
32,2009.12.17,우리 사랑하게 됐어요.,우리 사랑하게 됐어요,"가인, 조권",댄스
33,2010.05.14,별이될께,Tears In Heaven,디셈버,발라드
34,2010.10.26,전활 받지 않는 너에게,Saint o'clock,2am,발라드
35,2010.10.25,훗 (Hoot),'훗 (Hoot)' The 3rd Mini Album,소녀시대 (GIRLS' GENERATION),댄스
36,2010.09.09,아파 (Slow),To Anyone,2NE1,발라드
37,2010.04.20,흩어져,New Sentimental,먼데이 키즈 (Monday Kiz),발라드
38,2010.03.01,Shock,Shock Of The New Era,비스트,댄스
39,2010.03.04,배운게 사랑이라,Honesty,디셈버,발라드
40,2010.05.13,다시 와주라,Vibe In Praha,바이브,발라드
41,2010.04.27,이 거지같은 말 (With 정엽 Of 브라운 아이드 소울),With,서영은,발라드
42,2010.07.01,I Need A Girl (Feat. G-dragon),Solar,태양,R&B/Soul
43,2010.01.07,원더우먼,원더우먼,"씨야, 다비치, 티아라",댄스
44,2010.09.09,박수쳐,To Anyone,2NE1,댄스
45,2010.07.29,난 너에게,조영수 All Star - 다비치,다비치,발라드
46,2010.07.14,꺼져 줄게 잘 살아 (Feat. 용준형),Draw G's First Breath,지나,발라드
47,2009.11.27,처음처럼,Absolute First Album,티아라,댄스
48,2010.05.19,사랑 빛,Bluelove,CNBLUE (씨엔블루),록/메탈
49,2010.08.25,사랑사랑사랑,Beautiful Journey,FTISLAND (FT아일랜드),록/메탈
50,2010.06.03,Push Push (푸시 푸시),Push Push,씨스타,댄스
